MANDT,BWKEY,BUKRS,BWMOD,XBKNG,MLBWA,MLBWV,XVKBW,ERKLAERKOM,UPROF,WBPRO,MLAST,MLASV,BDIFP,XLBPD,XEWRX,X2FDO,PRSFR,MLCCS,XEFRE,EFREJ,sur_pkey,SOURCE_SYSTEM_ERP
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,888b19a43b151683c87895f6211d9f8640f97bdc8ef32f03dbe057c8f5e56d32,888b19a43b151683c87895f6211d9f8640f97bdc8ef32f03dbe057c8f5e56d32,888b19a43b151683c87895f6211d9f8640f97bdc8ef32f03dbe057c8f5e56d32,,,,,,,,,,90.35373357505355,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,b2021fd508949825e7b612107bb183b886841ac8ae26ea8b60d69768329b0b95,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,685090b2f8ece990836ce5fbb6636c0d8ba1d9678e5762c5375e3a0fddecf087,685090b2f8ece990836ce5fbb6636c0d8ba1d9678e5762c5375e3a0fddecf087,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,180.71996186642792,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,8d45a2a55c77c4927c43afb0ed9b73790fec58d919c9e55ad1c272502d4f15d9,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,0930901f3ec11b7af160614b25ab3412b29f3f6ca44332e82a29ba23e2b67fe3,0930901f3ec11b7af160614b25ab3412b29f3f6ca44332e82a29ba23e2b67fe3,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,137.31691903526493,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,b538fbea2580a2a294daa0e7580e95fbc167fb4ce3bd6fc9899f3bde603f527e,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,08a05c4b716c9953e044cf7b424d2d6f4f58486d5b8a5a10e61f458f842e9acc,08a05c4b716c9953e044cf7b424d2d6f4f58486d5b8a5a10e61f458f842e9acc,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,226.62008601112882,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,d796d9c13391018c62eb1c57da84a4a1f72fc30cefdbb0eec74f5a2f92e98d2d,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,f7bb120e80490b714177ebaeff95174a418361c9755298461be85ae2367a6edc,f7bb120e80490b714177ebaeff95174a418361c9755298461be85ae2367a6edc,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,431.30046265768584,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,ac883eae62cd568d1b999cfdf26360f4b1ce55ed5df87f665a041e0202ab0b17,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,105b1d1853beed43cae5dfcea80d162fae4596e09da9b8679e58f34cee13ca46,105b1d1853beed43cae5dfcea80d162fae4596e09da9b8679e58f34cee13ca46,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,39.42466626752877,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a1a3c00cbb26ed1082d8e72cf54c0f729b2240d21064ac5f3bc59ee3cd1dcf16,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,8e8f006b6cf920b26915a1367418550f17b19477699cc4fd5787e50307f41e2f,8e8f006b6cf920b26915a1367418550f17b19477699cc4fd5787e50307f41e2f,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,280.45000612635175,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,f13a126589a3bb64983921c4d9457da0b97c5934ad1412fb6aa0bfcb3f128590,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,5792735a0acc9c27b1f06c2b59a9f410b99d602e65cef99168d6e4d16a67f6a4,5792735a0acc9c27b1f06c2b59a9f410b99d602e65cef99168d6e4d16a67f6a4,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,372.67617975966454,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,0ce4856587164def7b7891b0cc453d77ec8be4a2ae83192ca6b202e820eea510,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,0d9fb18c9aa347da29ecfbabfcc4ae4efde2f1b8fb15fe73b74e18b092955cb8,0d9fb18c9aa347da29ecfbabfcc4ae4efde2f1b8fb15fe73b74e18b092955cb8,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,393.18501668765475,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,1fd0534e1133aade7c6578367411182273295faa100b304b59ec7617d0ef54bd,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,86f24e0a8f1140e3cdf50be217a8525acadebbe89fd1fc60be625880897e9be3,86f24e0a8f1140e3cdf50be217a8525acadebbe89fd1fc60be625880897e9be3,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,,,,,,,,,,92.22028842880192,,,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,1f2604bc4bf2a607973fef1cfe85691f9bc2a499531cc77cf3c5a6a95d9c9ba5,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
